fantrax_label,definition,alignment_status,formula,required_schema_columns,unavailable_reason,notes
"1st Stars","The first star announced live at the NHL game. Note that this may differ from what appears on nhl.com.","ignored_deprecated","","","","Ignored by product decision."
"2nd Stars","The second star announced live at the NHL game. Note that this may differ from what appears on nhl.com.","ignored_deprecated","","","","Ignored by product decision."
"3rd Stars","The third star announced live at the NHL game. Note that this may differ from what appears on nhl.com.","ignored_deprecated","","","","Ignored by product decision."
"Assists","","direct","a","a","",""
"Assists (Primary)","Awarded to the player who passes the puck to the player who scores","direct","a1","a1","",""
"Assists (Secondary)","Awarded to the player who passes the puck to the player who gets the assist","direct","a2","a2","",""
"Assists Per Game","","direct","a_pg","a_pg","",""
"Big Goals","Power Play Goals + Short-Handed Goals + Game-winning Goals","formula","ppg + pkg + gwg","ppg,pkg,gwg","",""
"Big Goals 2","Power Play Goals + Short-Handed Goals + Game-winning Goals + Shootout Game-winning Goals","formula","ppg + pkg + gwg + shogwg","ppg,pkg,gwg,shogwg","",""
"Big Goals 3","Goals + Game-winning Goals + Overtime Goals + Shootout Goals","formula","g + gwg + otg + shog","g,gwg,otg,shog","",""
"Big Goals 4","Game-winning Goals + Shootout Goals + Penalty Shot Goals","formula","gwg + shog + psg","gwg,shog,psg","",""
"Big Goals 5","Power Play Goals + (3 x Game-winning Goals) + (5 x Short-Handed Goals)","formula","ppg + (3 * gwg) + (5 * pkg)","ppg,gwg,pkg","",""
"Big Goals 6","Game-winning Goals + Shootout Goals + Penalty Shot Goals + Empty Net Goals","formula","gwg + shog + psg + eng","gwg,shog,psg,eng","",""
"Big Goals 7","Game-winning Goals + Shootout Goals + Penalty Shot Goals + Empty Net Goals + First Goals + Hat Tricks","planned_derivation","gwg + shog + psg + eng + fg + htk","gwg,shog,psg,eng,fg,htk","","First goals and hat tricks are derivable from game summaries."
"Big Goals 8","Game-winning Goals + Overtime Goals + Shootout Goals + Penalty Shot Goals + Empty Net Goals + First Goals + Hat Tricks","planned_derivation","gwg + otg + shog + psg + eng + fg + htk","gwg,otg,shog,psg,eng,fg,htk","","First goals and hat tricks are derivable from game summaries."
"Big Points","Game-winning Goals + Overtime Assists + Shootout Goals + Shorthanded Points + Hat Tricks","planned_derivation","gwg + ota + shog + pkp + htk","gwg,ota,shog,pkp,htk","","Hat tricks are derivable from game summaries."
"Big Points 2","Game-winning Goals + Overtime Assists + Shootout Goals + Hat Tricks + Penalty Shot Goals","planned_derivation","gwg + ota + shog + htk + psg","gwg,ota,shog,htk,psg","","Hat tricks are derivable from game summaries."
"Big Points 3","Game-winning Goals + Overtime Goals + Overtime Assists + Shootout Game-winning Goals + (First Goal x 0.5) + (Shootout Goals x 0.5) + (Shootout Saves x 0.5)","planned_derivation","gwg + otg + ota + shogwg + (0.5 * fg) + (0.5 * shog) + (0.5 * shosv)","gwg,otg,ota,shogwg,fg,shog,shosv","","First goals are derivable from game summaries."
"Big Points 4","Game-winning Goals + Overtime Assists + Shootout Goals + Empty Net Goals","formula","gwg + ota + shog + eng","gwg,ota,shog,eng","",""
